Word,fiveStar,fourSar,threeStar,twoStar,oneStar,Score1,Score2
abrupt,42,110,100,109,188,-0.6347826086956522,-0.32293986636971045
garland,16,12,5,3,4,0.6,0.6
bettah,5,8,4,5,1,0.6666666666666666,0.3684210526315789
bettas,3,6,1,1,13,-0.625,-0.21739130434782608
overprocessed,13,9,13,16,13,0.0,-0.13725490196078433
literately,7,8,1,9,16,-0.391304347826087,-0.25
quarters,654,598,355,195,234,0.47297297297297297,0.4895895300416419
betten,3,10,5,2,0,1.0,0.7333333333333333
better,75321,67285,54947,47175,38856,0.3193725531411755,0.24744463931909533
rememeber,9,5,4,2,2,0.6363636363636364,0.5555555555555556
attente,11,19,11,8,6,0.29411764705882354,0.36363636363636365
unfried,22,18,9,9,6,0.5714285714285714,0.45454545454545453
pellet,27,8,5,4,15,0.2857142857142857,0.2962962962962963
slobbered,4,2,3,5,5,-0.1111111111111111,-0.25
kristel,20,0,0,0,6,0.5384615384615384,0.5384615384615384
kristen,325,97,40,22,73,0.6331658291457286,0.632495164410058
betsys,12,7,4,1,2,0.7142857142857143,0.7272727272727273
yummybut,6,7,6,5,2,0.5,0.3
kristal,8,6,2,1,0,1.0,0.8666666666666667
gajillion,9,10,3,1,2,0.6363636363636364,0.7272727272727273
beautiful,38200,18561,6349,3535,2560,0.8743866535819431,0.8060646557210132
tonsils,20,4,1,3,16,0.1111111111111111,0.11627906976744186
yuris,9,5,1,1,0,1.0,0.8666666666666667
flipflops,70,79,50,38,28,0.42857142857142855,0.386046511627907
apetite,19,17,4,5,9,0.35714285714285715,0.44
attends,130,36,21,13,22,0.7105263157894737,0.6517412935323383
attendu,11,25,36,14,18,-0.2413793103448276,0.058823529411764705
spitfire,24,9,8,4,0,1.0,0.7837837837837838
kristie,72,7,0,0,15,0.6551724137931034,0.6808510638297872
kristin,256,110,33,17,34,0.7655172413793103,0.7553956834532374
arooni,20,0,0,0,0,1.0,1.0
bettie,66,22,15,4,2,0.9411764705882353,0.8723404255319149
bettis,10,25,16,8,9,0.05263157894736842,0.34615384615384615
wwwrestaurantcom,10,14,8,1,1,0.8181818181818182,0.8461538461538461
jeezus,8,4,3,0,3,0.45454545454545453,0.6
channeled,22,6,8,4,2,0.8333333333333334,0.6470588235294118
threads,115,92,45,37,62,0.2994350282485876,0.35294117647058826
yummyand,20,14,3,0,2,0.8181818181818182,0.8888888888888888
waisting,5,7,5,4,35,-0.75,-0.5294117647058824
destress,47,18,9,3,4,0.8431372549019608,0.8055555555555556
cloudiness,6,3,2,1,4,0.2,0.2857142857142857
ontracs,0,0,0,0,16,-1.0,-1.0
attempt,1217,1305,1130,1418,2700,-0.3786060760786316,-0.24036144578313254
obliviously,8,3,6,2,11,-0.15789473684210525,-0.08333333333333333
wazuzu,54,53,23,12,18,0.5,0.5620437956204379
yielded,68,87,45,28,28,0.4166666666666667,0.46919431279620855
incharge,3,4,3,3,13,-0.625,-0.391304347826087
extraneous,27,17,9,7,6,0.6363636363636364,0.543859649122807
cultivating,15,9,3,2,3,0.6666666666666666,0.6551724137931034
inoffice,18,1,2,2,9,0.3333333333333333,0.26666666666666666
nonkosher,9,4,2,0,2,0.6363636363636364,0.7333333333333333
threats,17,9,9,16,130,-0.7687074829931972,-0.6976744186046512
admittance,20,28,9,11,27,-0.14893617021276595,0.11627906976744186
oversweet,8,13,10,7,8,0.0,0.16666666666666666
wmeat,5,6,7,1,0,1.0,0.8333333333333334
skinnylicious,8,30,11,9,2,0.6,0.5510204081632653
exellent,52,35,6,1,2,0.9259259259259259,0.9333333333333333
eingang,9,31,13,2,4,0.38461538461538464,0.7391304347826086
betsey,33,29,6,2,11,0.5,0.6533333333333333
hombres,6,5,1,1,3,0.3333333333333333,0.4666666666666667
sojourn,35,16,7,3,1,0.9444444444444444,0.8545454545454545
gebude,16,15,15,1,1,0.8823529411764706,0.8787878787878788
crawling,169,180,146,163,535,-0.5198863636363636,-0.3333333333333333
benefitted,24,38,34,9,9,0.45454545454545453,0.55
betray,9,6,3,2,6,0.2,0.30434782608695654
remastered,17,6,4,5,0,1.0,0.6428571428571429
graciously,623,357,151,125,153,0.6056701030927835,0.5580286168521462
wooche,8,7,9,4,1,0.7777777777777778,0.5
veryyy,11,15,7,1,1,0.8333333333333334,0.8571428571428571
gallardo,27,5,7,1,1,0.9285714285714286,0.8823529411764706
aromas,290,195,54,17,18,0.8831168831168831,0.8653846153846154
embellish,38,19,6,5,4,0.8095238095238095,0.7272727272727273
duplicate,251,111,64,39,95,0.4508670520231214,0.4596774193548387
napolitan,8,5,1,2,0,1.0,0.7333333333333333
harrassing,1,3,3,3,17,-0.8888888888888888,-0.6666666666666666
discontent,12,12,13,25,46,-0.5862068965517241,-0.49473684210526314
crawlies,14,5,4,1,5,0.47368421052631576,0.52
sebring,14,3,0,1,3,0.6470588235294118,0.6190476190476191
beerthe,9,15,1,4,7,0.125,0.37142857142857144
metaphorical,12,12,8,6,0,1.0,0.6
chrysty,18,0,1,0,1,0.8947368421052632,0.8947368421052632
hookahs,262,139,72,58,55,0.6529968454258676,0.5603112840466926
woodsy,43,53,24,4,3,0.8695652173913043,0.8640776699029126
unfresh,3,11,17,30,46,-0.8775510204081632,-0.6888888888888889
delusions,15,12,4,8,12,0.1111111111111111,0.14893617021276595
sullen,12,28,28,30,36,-0.5,-0.24528301886792453
wooded,37,43,15,3,1,0.9473684210526315,0.9047619047619048
wooden,1480,1547,697,285,189,0.7735170760934691,0.7292202227934875
montreal,9611,6759,2368,1096,883,0.8317133600152468,0.7842934219848493
inexpensive,4110,3923,1684,657,353,0.8418104414071252,0.7766228021674223
bellyup,6,6,1,2,3,0.3333333333333333,0.4117647058823529
compensating,11,13,15,14,39,-0.56,-0.37662337662337664
